Keyword,CatID,CatID_fixed,map_status,note
grit scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
grit drag,DRAG,,NO_MATCH,not found in ucs_catid_list
grit fall,GRAVEL,,NO_MATCH,not found in ucs_catid_list
grit shake,GRAVEL,,NO_MATCH,not found in ucs_catid_list
crunch debris,CRUNCH,,NO_MATCH,not found in ucs_catid_list
light debris,DEBRIS,,NO_MATCH,not found in ucs_catid_list
heavy debris,DEBRIS,,NO_MATCH,not found in ucs_catid_list
falling debris,DEBRIS,,NO_MATCH,not found in ucs_catid_list
collapsing debris,DEBRIS,,NO_MATCH,not found in ucs_catid_list
rubble fall,DEBRIS,,NO_MATCH,not found in ucs_catid_list
rubble impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
rubble slide,SLIDE,,NO_MATCH,not found in ucs_catid_list
dust fall,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
dust burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
dust whoosh,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
dust scatter,SCATTER,,NO_MATCH,not found in ucs_catid_list
scatter debris,DEBRIS,,NO_MATCH,not found in ucs_catid_list
scatter dirt,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
scatter wood,DEBRIS,,NO_MATCH,not found in ucs_catid_list
scatter metal,DEBRIS,,NO_MATCH,not found in ucs_catid_list
scatter glass,SHATTER,,NO_MATCH,not found in ucs_catid_list
light shatter,SHATTER,,NO_MATCH,not found in ucs_catid_list
heavy shatter,SHATTER,,NO_MATCH,not found in ucs_catid_list
micro shatter,SHATTER,,NO_MATCH,not found in ucs_catid_list
tiny shatter,SHATTER,,NO_MATCH,not found in ucs_catid_list
crystal shatter,SHATTER,,NO_MATCH,not found in ucs_catid_list
crystal chime,RING,,NO_MATCH,not found in ucs_catid_list
crystal crack,CRACK,,NO_MATCH,not found in ucs_catid_list
crystal hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
crystal fall,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
thin crack,CRACK,,NO_MATCH,not found in ucs_catid_list
deep crack,CRACK,,NO_MATCH,not found in ucs_catid_list
sharp crack,CRACK,,NO_MATCH,not found in ucs_catid_list
surface crack,CRACK,,NO_MATCH,not found in ucs_catid_list
stress crack,CRACK,,NO_MATCH,not found in ucs_catid_list
shear crack,CRACK,,NO_MATCH,not found in ucs_catid_list
metal shear,SHEAR,,NO_MATCH,not found in ucs_catid_list
metal shred,TEAR,,NO_MATCH,not found in ucs_catid_list
metal grind,GRIND,,NO_MATCH,not found in ucs_catid_list
metal wobble,WOBBLE,,NO_MATCH,not found in ucs_catid_list
metal stress,SHEAR,,NO_MATCH,not found in ucs_catid_list
metal buckle,BEND,,NO_MATCH,not found in ucs_catid_list
metal fatigue,BEND,,NO_MATCH,not found in ucs_catid_list
glass shear,SHATTER,,NO_MATCH,not found in ucs_catid_list
glass tension,TENSION,,NO_MATCH,not found in ucs_catid_list
wood tension,TENSION,,NO_MATCH,not found in ucs_catid_list
rope fray,TEAR,,NO_MATCH,not found in ucs_catid_list
branch snap,BREAK,,AMBIGUOUS,SubCategory 'BREAK' maps to 8 CatIDs
branch stress,CREAK,,AMBIGUOUS,SubCategory 'CREAK' maps to 4 CatIDs
branch bend,CREAK,,AMBIGUOUS,SubCategory 'CREAK' maps to 4 CatIDs
branch sway,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
branch scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
leaf flutter,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
leaf rustle,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
leaf swirl,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
leaf burst,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
foliage burst,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
foliage hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
foliage slide,SLIDE,,NO_MATCH,not found in ucs_catid_list
grass movement,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
grass rustle,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
grass crunch,CRUNCH,,NO_MATCH,not found in ucs_catid_list
hay rustle,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
hay movement,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
dirt fall,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
dirt hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
dirt pour,LIQUID,,NO_MATCH,not found in ucs_catid_list
dirt slide,SLIDE,,NO_MATCH,not found in ucs_catid_list
ash fall,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
ash burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
ash scatter,SCATTER,,NO_MATCH,not found in ucs_catid_list
ash swirl,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
sand scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
sand crunch,CRUNCH,,NO_MATCH,not found in ucs_catid_list
sand pour,LIQUID,,NO_MATCH,not found in ucs_catid_list
sand fall,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
sand swirl,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
gravel fall,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
gravel slide,SLIDE,,NO_MATCH,not found in ucs_catid_list
gravel scatter,SCATTER,,NO_MATCH,not found in ucs_catid_list
gravel crunch,CRUNCH,,NO_MATCH,not found in ucs_catid_list
pebble drop,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
pebble scatter,SCATTER,,NO_MATCH,not found in ucs_catid_list
stone hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
stone crack,CRACK,,NO_MATCH,not found in ucs_catid_list
stone scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
stone slide,SLIDE,,NO_MATCH,not found in ucs_catid_list
stone grind,GRIND,,NO_MATCH,not found in ucs_catid_list
stone crumble,ROCK,,AMBIGUOUS,CatShort 'ROCK' has 8 CatIDs
wall hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
wall scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
wall crack,CRACK,,NO_MATCH,not found in ucs_catid_list
wall crumble,ROCK,,AMBIGUOUS,CatShort 'ROCK' has 8 CatIDs
wall dust,DEBRIS,,NO_MATCH,not found in ucs_catid_list
floor hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
floor slide,SLIDE,,NO_MATCH,not found in ucs_catid_list
floor scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
ceiling crack,CRACK,,NO_MATCH,not found in ucs_catid_list
ceiling debris,DEBRIS,,NO_MATCH,not found in ucs_catid_list
pipe hum,HUM,,NO_MATCH,not found in ucs_catid_list
